title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
The Core,2003,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",David Foster Productions,Paramount Pictures,John Amiel,Cooper Lane,Aaron Eckhart,Hilary Swank,,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
Doctor Dolittle,1998,Larkin & Hyde Streets,,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,CA,San Francisco,POINT (-122.420094 37.8042687),2,2024-12-18T14:30:38.000,Russian Hill,-122.420094,2024-12-06T12:17:47.000,37.8042687
Star Trek IV: The Voyage Home,1986,Kearny & Pacific Streets,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,CA,San Francisco,POINT (-122.4053446 37.7970987),3,2024-12-18T14:30:38.000,North Beach,-122.4053446,2024-12-06T12:17:47.000,37.7970987
This Is Us,2022,Montgomery Street between Broadway and Green,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,CA,San Francisco,POINT (-122.4040634 37.7981354),3,2024-12-18T14:30:38.000,North Beach,-122.4040634,2024-12-06T12:17:47.000,37.7981354
Under the Tuscan Sun,2003,Mecca Restaurant (2029 Market Street),,Touchstone Pictures,Buena Vista Pictures,Audrey Wells,Audrey Wells,Diane Lane,Sandra Oh,,CA,San Francisco,POINT (-122.4274729 37.7683588),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4274729,2024-12-06T12:17:47.000,37.7683588
Foul Play,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.4172704 37.7588719),9,2024-12-18T14:30:38.000,Mission,-122.4172704,2024-12-06T12:17:47.000,37.7588719
Sense8 - Season 2,2016,67-69 Deming St.,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.445782 37.760369),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.445782,2024-12-06T12:17:47.000,37.760369
Looking,2014,BART from Civic Center to 24th St.,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Dirty Harry,1971,Mission Dolores Park (Mission District),"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.4266135 37.7608223),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4266135,2024-12-06T12:17:47.000,37.7608223
Looking Season 2 ep 209,2015,"Tonga Room, Fairmont Hotel, 950 Mason Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4100923 37.7923883),3,2024-12-18T14:30:38.000,Nob Hill,-122.4100923,2024-12-06T12:17:47.000,37.7923883
Shit and Champagne,2020,1090 Eddy St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,CA,San Francisco,POINT (-122.4256018 37.7825651),2,2024-12-18T14:30:38.000,Western Addition,-122.4256018,2024-12-06T12:17:47.000,37.7825651
The Towering Inferno,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,CA,San Francisco,POINT (-122.4100923 37.7923883),3,2024-12-18T14:30:38.000,Nob Hill,-122.4100923,2024-12-06T12:17:47.000,37.7923883
